,point_victor,who_to_serve,consumption_of_strength,consumption,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_serve_speed_ave, p2_serve_speed_ave,width_1,width_2,depth_1,depth_2,depth_return_1,depth_return_2
26,2,2,1.064972933,0.932848175,0.2,0.166666667,0.153846154,0.230769231,0,0,0.076923077,0.076923077,0.038461538,0.115384615,0.038461538,0.076923077,0,0,0,0,0,0,114.7333333,118.8333333,0,5,0,2,0,0
27,1,1,1.014160896,0.904874185,0.1875,0.166666667,0.185185185,0.222222222,0,0,0.074074074,0.074074074,0.037037037,0.111111111,0.037037037,0.074074074,0,0,0,0,0,0,114.8125,118.8333333,5,0,1,0,2,0
28,1,1,0.962207654,0.897572183,0.176470588,0.166666667,0.178571429,0.214285714,0,0,0.071428571,0.071428571,0.035714286,0.107142857,0.035714286,0.071428571,0,0,0,0,0,0,115.6470588,118.8333333,4,0,2,0,2,0
29,1,1,0.98269652,0.899198043,0.166666667,0.166666667,0.172413793,0.206896552,0,0,0.068965517,0.068965517,0.068965517,0.103448276,0.068965517,0.068965517,0,0,0,0,0,0,115.3333333,118.8333333,2,0,2,0,2,0
30,2,1,0.973933602,0.897771018,0.157894737,0.166666667,0.166666667,0.2,0,0,0.1,0.066666667,0.066666667,0.1,0.066666667,0.066666667,0,0,0,0,0,0,115.2105263,118.8333333,2,0,2,0,2,0
31,2,1,0.949941302,0.89157197,0.15,0.166666667,0.161290323,0.193548387,0,0,0.096774194,0.064516129,0.064516129,0.096774194,0.064516129,0.064516129,0,0,0,0,0,0,114.65,118.8333333,2,0,2,0,1,0
32,2,1,0.906420944,0.888794917,0.142857143,0.166666667,0.15625,0.1875,0,0,0.125,0.0625,0.0625,0.09375,0.0625,0.0625,0,0,0,0,0,0,114.4761905,118.8333333,1,0,1,0,1,0
33,1,1,0.919546162,0.904599274,0.136363636,0.166666667,0.151515152,0.181818182,0,0,0.121212121,0.060606061,0.090909091,0.090909091,0.090909091,0.060606061,0,0,0,0,0,0,113.6818182,118.8333333,4,0,1,0,1,0
34,1,1,0.906921413,0.901050834,0.130434783,0.166666667,0.147058824,0.176470588,0,0,0.117647059,0.058823529,0.117647059,0.088235294,0.117647059,0.058823529,0,0,0,0,0,0,113.6956522,118.8333333,4,0,2,0,1,0
35,2,2,0.91021992,0.905449504,0.130434783,0.153846154,0.142857143,0.171428571,0,0,0.114285714,0.057142857,0.114285714,0.085714286,0.114285714,0.057142857,0,0,0,0,0,0,113.6956522,118.1538462,0,5,0,1,0,2
36,1,2,0.916856973,0.909604693,0.130434783,0.142857143,0.138888889,0.166666667,0,0,0.111111111,0.083333333,0.111111111,0.083333333,0.111111111,0.055555556,0,0,0,0,0,0,113.6956522,116.1428571,0,3,0,2,0,2
37,2,2,0.924341596,0.91335605,0.130434783,0.133333333,0.135135135,0.162162162,0,0,0.108108108,0.081081081,0.108108108,0.081081081,0.108108108,0.054054054,0,0,0,0,0,0,113.6956522,116.7333333,0,4,0,2,0,1
38,2,2,0.925601923,0.913868879,0.130434783,0.125,0.131578947,0.157894737,0,0,0.105263158,0.078947368,0.105263158,0.078947368,0.105263158,0.052631579,0,0,0,0,0,0,113.6956522,117.375,0,1,0,2,0,2
39,2,2,0.98504766,0.915243962,0.130434783,0.117647059,0.128205128,0.153846154,0,0,0.102564103,0.076923077,0.102564103,0.076923077,0.102564103,0.051282051,0,0,0,0,0,0,113.6956522,117,0,3,0,2,0,2
40,1,1,1.00502737,0.922472019,0.125,0.117647059,0.15,0.15,0,0,0.1,0.075,0.1,0.1,0.1,0.05,0,0,0,0,0,0,113.4166667,117,3,0,2,0,2,0
41,1,1,0.933390637,0.909870786,0.12,0.117647059,0.146341463,0.146341463,0,0,0.097560976,0.097560976,0.097560976,0.12195122,0.097560976,0.048780488,0,0,0,0,0,0,113.68,117,4,0,2,0,2,0
42,1,1,0.919616953,0.903872432,0.115384615,0.117647059,0.166666667,0.142857143,0,0,0.095238095,0.095238095,0.095238095,0.119047619,0.095238095,0.047619048,0,0,0,0,0,0,113.7307692,117,5,0,1,0,2,0
43,2,1,0.923049146,0.905735786,0.111111111,0.117647059,0.162790698,0.139534884,0,0,0.093023256,0.093023256,0.093023256,0.11627907,0.093023256,0.046511628,0,0,0,0,0,0,113.3703704,117,3,0,2,0,1,0
44,1,1,0.945648525,0.91880448,0.107142857,0.117647059,0.159090909,0.136363636,0,0,0.090909091,0.090909091,0.090909091,0.136363636,0.090909091,0.045454545,0,0,0,0,0,0,112.9285714,117,1,0,2,0,1,0
45,2,2,0.950567381,0.920900594,0.107142857,0.111111111,0.155555556,0.133333333,0,0,0.088888889,0.088888889,0.088888889,0.133333333,0.088888889,0.044444444,0,0,0,0,0,0,112.9285714,117.8333333,0,4,0,1,0,1
46,1,2,0.903879721,0.921007556,0.107142857,0.105263158,0.152173913,0.130434783,0,0.052631579,0.086956522,0.108695652,0.086956522,0.130434783,0.086956522,0.043478261,0,0,0,0,0,0,112.9285714,117.8333333,0,5,0,1,0,0
47,2,2,0.951517661,0.921957238,0.107142857,0.15,0.14893617,0.14893617,0,0.05,0.085106383,0.106382979,0.085106383,0.127659574,0.085106383,0.042553191,0,0,0,0,0,0,112.9285714,118.4736842,0,4,0,1,0,0
48,1,2,0.966419395,0.923125323,0.107142857,0.142857143,0.145833333,0.145833333,0,0.047619048,0.083333333,0.125,0.083333333,0.125,0.083333333,0.041666667,0,0,0,0,0,0,112.9285714,117.6,0,3,0,2,0,1
49,1,2,0.99759967,0.93855435,0.107142857,0.136363636,0.163265306,0.142857143,0,0.045454545,0.081632653,0.12244898,0.081632653,0.142857143,0.081632653,0.040816327,0,0,0,0,0,0,112.9285714,117.047619,0,1,0,2,0,1
50,1,2,1.035756739,0.953765898,0.107142857,0.130434783,0.16,0.14,0,0.043478261,0.08,0.14,0.08,0.14,0.08,0.04,0.043478261,0,0.043478261,0,0,0,112.9285714,116.5454545,0,1,0,2,0,2
51,1,1,1.046003548,0.952263732,0.103448276,0.130434783,0.156862745,0.137254902,0,0.043478261,0.078431373,0.137254902,0.078431373,0.137254902,0.078431373,0.039215686,0.043478261,0,0.043478261,0,0,0,113,116.5454545,3,0,2,0,1,0
52,2,1,1.048541948,0.950174425,0.1,0.130434783,0.153846154,0.134615385,0,0.043478261,0.076923077,0.134615385,0.076923077,0.134615385,0.076923077,0.038461538,0.043478261,0,0.043478261,0,0,0,112.5666667,116.5454545,3,0,2,0,1,0
53,1,1,1.026785397,0.948167878,0.096774194,0.130434783,0.150943396,0.132075472,0,0.043478261,0.075471698,0.132075472,0.075471698,0.132075472,0.075471698,0.037735849,0.043478261,0,0.043478261,0,0,0,112.8709677,116.5454545,2,0,2,0,1,0
54,2,1,1.036109877,0.948864962,0.09375,0.130434783,0.148148148,0.12962963,0,0.043478261,0.074074074,0.12962963,0.092592593,0.12962963,0.074074074,0.037037037,0.043478261,0,0.043478261,0,0,0,112.9375,116.5454545,4,0,2,0,2,0
55,1,1,1.028937527,0.94936944,0.090909091,0.130434783,0.145454545,0.127272727,0,0.043478261,0.072727273,0.127272727,0.109090909,0.127272727,0.090909091,0.036363636,0.043478261,0,0.043478261,0,0,0,113.4242424,116.5454545,4,0,2,0,2,0
56,2,1,1.037696922,0.951356343,0.088235294,0.130434783,0.142857143,0.125,0,0.043478261,0.089285714,0.125,0.125,0.125,0.089285714,0.035714286,0.043478261,0,0.043478261,0,0,0,113.4117647,116.5454545,3,0,2,0,0,0
57,1,1,1.034701849,0.955029285,0.085714286,0.130434783,0.140350877,0.122807018,0,0.043478261,0.087719298,0.122807018,0.122807018,0.140350877,0.087719298,0.035087719,0.043478261,0,0.043478261,0,0,0,113.4285714,116.5454545,3,0,2,0,1,0
58,2,1,1.028062004,0.954292162,0.083333333,0.130434783,0.137931034,0.137931034,0,0.043478261,0.086206897,0.120689655,0.120689655,0.155172414,0.086206897,0.051724138,0.043478261,0,0.043478261,0,0,0,112.7222222,116.5454545,3,0,2,0,2,0
59,2,1,1.020609676,0.953777645,0.081081081,0.130434783,0.13559322,0.152542373,0,0.043478261,0.084745763,0.118644068,0.118644068,0.169491525,0.084745763,0.06779661,0.043478261,0,0.043478261,0,0,0,113,116.5454545,2,0,2,0,1,0
60,1,1,0.986366801,0.944814883,0.078947368,0.130434783,0.15,0.15,0,0.043478261,0.083333333,0.116666667,0.116666667,0.166666667,0.083333333,0.066666667,0.043478261,0.026315789,0.043478261,0,0,0.026315789,113.2105263,116.5454545,2,0,2,0,2,0
61,1,1,1.012583799,0.943885983,0.076923077,0.130434783,0.147540984,0.147540984,0,0.043478261,0.081967213,0.114754098,0.114754098,0.163934426,0.081967213,0.06557377,0.043478261,0.025641026,0.043478261,0,0,0.025641026,113.6410256,116.5454545,4,0,2,0,2,0
62,1,1,1.017814368,0.941856421,0.075,0.130434783,0.14516129,0.14516129,0,0.043478261,0.080645161,0.129032258,0.129032258,0.161290323,0.096774194,0.064516129,0.043478261,0.025,0.043478261,0,0,0.025,114.1,116.5454545,3,0,2,0,2,0
63,2,2,1.023491562,0.942732664,0.075,0.166666667,0.142857143,0.158730159,0,0.041666667,0.079365079,0.126984127,0.126984127,0.158730159,0.095238095,0.063492063,0.041666667,0.025,0.041666667,0,0,0.025,114.1,116.826087,0,4,0,2,0,0
64,2,2,1.002186921,0.942818914,0.075,0.2,0.140625,0.171875,0,0.04,0.078125,0.125,0.125,0.15625,0.09375,0.0625,0.04,0.025,0.04,0,0,0.025,114.1,116.8333333,0,4,0,2,0,0
65,2,2,0.997675594,0.94283928,0.075,0.192307692,0.138461538,0.169230769,0,0.038461538,0.076923077,0.123076923,0.123076923,0.169230769,0.092307692,0.076923077,0.038461538,0.025,0.038461538,0,0,0.025,114.1,117.08,0,1,0,2,0,2
66,2,2,1.008062825,0.946220413,0.075,0.185185185,0.136363636,0.166666667,0,0.037037037,0.075757576,0.121212121,0.121212121,0.166666667,0.090909091,0.075757576,0.037037037,0.025,0.037037037,0,0,0.025,114.1,117.2692308,0,4,0,1,0,2
67,1,1,1.005290088,0.946080857,0.097560976,0.185185185,0.149253731,0.164179104,0,0.037037037,0.074626866,0.119402985,0.119402985,0.164179104,0.089552239,0.074626866,0.037037037,0.024390244,0.037037037,0,0,0.024390244,114.4146341,117.2692308,4,0,2,0,0,0
68,1,1,1.004309243,0.945288225,0.095238095,0.185185185,0.147058824,0.161764706,0,0.037037037,0.073529412,0.117647059,0.117647059,0.161764706,0.088235294,0.073529412,0.037037037,0.023809524,0.037037037,0,0,0.023809524,114.1190476,117.2692308,3,0,2,0,2,0
69,2,1,0.967919977,0.944998614,0.093023256,0.185185185,0.144927536,0.173913043,0,0.037037037,0.072463768,0.115942029,0.115942029,0.15942029,0.086956522,0.072463768,0.037037037,0.023255814,0.037037037,0,0,0.023255814,114.0465116,117.2692308,3,0,2,0,1,0
70,2,1,0.905243236,0.942526159,0.090909091,0.185185185,0.142857143,0.171428571,0,0.037037037,0.085714286,0.114285714,0.114285714,0.157142857,0.085714286,0.071428571,0.037037037,0.022727273,0.037037037,0,0,0.022727273,114.1363636,117.2692308,2,0,2,0,1,0
71,1,1,0.90627901,0.941768886,0.111111111,0.185185185,0.154929577,0.169014085,0,0.037037037,0.084507042,0.112676056,0.112676056,0.154929577,0.084507042,0.070422535,0.037037037,0.022222222,0.037037037,0,0,0.022222222,114.4,117.2692308,4,0,2,0,0,0
72,2,1,0.910373949,0.940985609,0.108695652,0.185185185,0.152777778,0.166666667,0,0.037037037,0.097222222,0.111111111,0.111111111,0.152777778,0.083333333,0.069444444,0.037037037,0.02173913,0.037037037,0,0,0.02173913,114.0217391,117.2692308,5,0,1,0,2,0
73,2,1,0.912217969,0.939833882,0.106382979,0.185185185,0.150684932,0.164383562,0,0.037037037,0.109589041,0.109589041,0.109589041,0.150684932,0.082191781,0.068493151,0.037037037,0.021276596,0.037037037,0,0,0.021276596,113.8297872,117.2692308,2,0,2,0,1,0
74,2,1,0.902078765,0.938179584,0.104166667,0.185185185,0.148648649,0.162162162,0,0.037037037,0.108108108,0.108108108,0.108108108,0.148648649,0.081081081,0.067567568,0.037037037,0.041666667,0.037037037,0.020833333,0,0.020833333,114.1458333,117.2692308,1,0,2,0,2,0
75,2,2,0.904013797,0.939260861,0.104166667,0.178571429,0.146666667,0.16,0,0.035714286,0.106666667,0.106666667,0.106666667,0.146666667,0.08,0.066666667,0.035714286,0.041666667,0.035714286,0.020833333,0,0.020833333,114.1458333,117.5925926,0,4,0,1,0,1
76,2,2,0.894340454,0.938621058,0.104166667,0.172413793,0.144736842,0.157894737,0,0.034482759,0.105263158,0.105263158,0.105263158,0.144736842,0.078947368,0.065789474,0.034482759,0.041666667,0.034482759,0.020833333,0,0.020833333,114.1458333,117.9642857,0,5,0,1,0,2
77,2,2,0.901090324,0.944292059,0.104166667,0.166666667,0.142857143,0.168831169,0,0.033333333,0.103896104,0.103896104,0.103896104,0.142857143,0.077922078,0.064935065,0.033333333,0.041666667,0.033333333,0.020833333,0,0.020833333,114.1458333,117.6206897,0,3,0,2,0,1
78,2,2,0.905268727,0.944074681,0.104166667,0.161290323,0.141025641,0.166666667,0,0.032258065,0.115384615,0.102564103,0.102564103,0.141025641,0.076923077,0.064102564,0.032258065,0.041666667,0.032258065,0.020833333,0,0.020833333,114.1458333,117.0666667,0,5,0,1,0,1
79,2,1,0.962983614,0.955788572,0.102040816,0.161290323,0.139240506,0.164556962,0,0.032258065,0.113924051,0.101265823,0.101265823,0.139240506,0.075949367,0.063291139,0.032258065,0.040816327,0.032258065,0.020408163,0,0.020408163,113.9795918,117.0666667,1,0,2,0,1,0
80,1,1,0.987689447,0.953394313,0.1,0.161290323,0.1375,0.1625,0,0.032258065,0.1125,0.1,0.1,0.1375,0.075,0.0625,0.032258065,0.04,0.032258065,0.02,0,0.02,113.92,117.0666667,4,0,2,0,2,0
81,1,1,0.991311708,0.953277725,0.117647059,0.161290323,0.148148148,0.160493827,0,0.032258065,0.111111111,0.098765432,0.098765432,0.135802469,0.074074074,0.061728395,0.032258065,0.039215686,0.032258065,0.019607843,0,0.019607843,113.8431373,117.0666667,5,0,1,0,0,0
82,2,1,1.07221255,0.969111448,0.115384615,0.161290323,0.146341463,0.158536585,0,0.032258065,0.109756098,0.097560976,0.097560976,0.134146341,0.073170732,0.06097561,0.032258065,0.038461538,0.032258065,0.019230769,0,0.019230769,113.9423077,117.0666667,4,0,1,0,1,0
83,2,1,1.055463592,0.967372406,0.113207547,0.161290323,0.144578313,0.168674699,0,0.032258065,0.108433735,0.096385542,0.096385542,0.144578313,0.072289157,0.072289157,0.032258065,0.037735849,0.032258065,0.018867925,0,0.018867925,113.5849057,117.0666667,4,0,2,0,2,0
84,1,1,1.042523916,0.965327408,0.111111111,0.161290323,0.142857143,0.166666667,0,0.032258065,0.107142857,0.107142857,0.095238095,0.142857143,0.071428571,0.071428571,0.032258065,0.055555556,0.032258065,0.018518519,0,0.037037037,113.2407407,117.0666667,1,0,2,0,2,0
85,1,1,1.028360224,0.962844834,0.109090909,0.161290323,0.141176471,0.164705882,0,0.032258065,0.105882353,0.117647059,0.094117647,0.141176471,0.070588235,0.070588235,0.032258065,0.054545455,0.032258065,0.018181818,0,0.036363636,113.0363636,117.0666667,3,0,1,0,2,0
86,1,1,1.040815503,0.9700794,0.107142857,0.161290323,0.139534884,0.162790698,0,0.032258065,0.104651163,0.11627907,0.093023256,0.139534884,0.069767442,0.069767442,0.032258065,0.053571429,0.032258065,0.017857143,0,0.035714286,113.1607143,117.0666667,1,0,2,0,1,0
87,2,2,1.087301871,0.982829267,0.107142857,0.15625,0.137931034,0.172413793,0,0.03125,0.103448276,0.114942529,0.091954023,0.137931034,0.068965517,0.068965517,0.03125,0.053571429,0.03125,0.017857143,0,0.035714286,113.1607143,116.9354839,0,5,0,1,0,1
88,2,2,1.100484436,0.985885811,0.107142857,0.151515152,0.136363636,0.170454545,0,0.03030303,0.102272727,0.113636364,0.090909091,0.147727273,0.068181818,0.079545455,0.03030303,0.053571429,0.03030303,0.017857143,0,0.035714286,113.1607143,117.28125,0,5,0,2,0,1
89,1,2,1.116321381,0.990871092,0.107142857,0.147058824,0.146067416,0.168539326,0,0.029411765,0.101123596,0.112359551,0.08988764,0.157303371,0.06741573,0.078651685,0.029411765,0.053571429,0.029411765,0.017857143,0,0.035714286,113.1607143,117.0909091,0,4,0,2,0,2
90,1,2,1.162153165,0.998034452,0.107142857,0.142857143,0.144444444,0.166666667,0,0.028571429,0.1,0.122222222,0.088888889,0.155555556,0.066666667,0.077777778,0.028571429,0.053571429,0.028571429,0.017857143,0,0.035714286,113.1607143,117.5,0,3,0,2,0,1
91,1,2,1.170426228,1.003329832,0.107142857,0.138888889,0.142857143,0.164835165,0,0.027777778,0.098901099,0.131868132,0.087912088,0.153846154,0.065934066,0.076923077,0.027777778,0.053571429,0.027777778,0.017857143,0,0.035714286,113.1607143,117.9714286,0,4,0,2,0,1
92,2,2,1.184585952,1.007437038,0.107142857,0.135135135,0.141304348,0.163043478,0,0.027027027,0.097826087,0.130434783,0.086956522,0.163043478,0.065217391,0.086956522,0.054054054,0.053571429,0.027027027,0.017857143,0.027027027,0.035714286,113.1607143,118.1111111,0,1,0,2,0,2
93,1,2,1.17870448,1.008126082,0.107142857,0.131578947,0.139784946,0.161290323,0,0.026315789,0.096774194,0.129032258,0.086021505,0.161290323,0.064516129,0.086021505,0.052631579,0.053571429,0.026315789,0.017857143,0.026315789,0.035714286,113.1607143,117.8108108,0,4,0,2,0,2
94,2,2,1.217819197,1.017841476,0.107142857,0.128205128,0.138297872,0.159574468,0,0.025641026,0.095744681,0.127659574,0.085106383,0.170212766,0.063829787,0.095744681,0.076923077,0.053571429,0.025641026,0.017857143,0.051282051,0.035714286,113.1607143,117.8157895,0,5,0,1,0,2
95,2,2,1.221436343,1.01884702,0.107142857,0.125,0.136842105,0.157894737,0,0.025,0.094736842,0.126315789,0.084210526,0.168421053,0.063157895,0.094736842,0.075,0.053571429,0.025,0.017857143,0.05,0.035714286,113.1607143,118.1538462,0,4,0,2,0,2
96,2,2,1.231918007,1.021489931,0.107142857,0.12195122,0.135416667,0.166666667,0,0.024390244,0.09375,0.125,0.083333333,0.177083333,0.0625,0.104166667,0.073170732,0.053571429,0.024390244,0.017857143,0.048780488,0.035714286,113.1607143,118.425,0,3,0,2,0,0
97,2,1,1.193931451,1.015733594,0.105263158,0.12195122,0.134020619,0.164948454,0,0.024390244,0.092783505,0.12371134,0.082474227,0.175257732,0.06185567,0.103092784,0.073170732,0.052631579,0.024390244,0.01754386,0.048780488,0.035087719,113.1929825,118.425,4,0,2,0,2,0
98,1,1,1.210318231,1.014759199,0.103448276,0.12195122,0.132653061,0.163265306,0,0.024390244,0.091836735,0.12244898,0.081632653,0.173469388,0.06122449,0.102040816,0.073170732,0.051724138,0.024390244,0.017241379,0.048780488,0.034482759,113.1206897,118.425,4,0,2,0,2,0
99,2,1,1.2002798,1.014271772,0.101694915,0.12195122,0.131313131,0.161616162,0,0.024390244,0.101010101,0.121212121,0.080808081,0.171717172,0.060606061,0.101010101,0.073170732,0.050847458,0.024390244,0.016949153,0.048780488,0.033898305,112.7457627,118.425,4,0,2,0,2,0
100,1,1,1.207428424,1.013151002,0.1,0.12195122,0.13,0.16,0,0.024390244,0.1,0.12,0.08,0.17,0.06,0.1,0.073170732,0.05,0.024390244,0.016666667,0.048780488,0.033333333,112.9666667,118.425,5,0,2,0,2,0
101,1,1,1.178336869,1.008283852,0.098360656,0.12195122,0.128712871,0.158415842,0,0.024390244,0.099009901,0.118811881,0.079207921,0.168316832,0.059405941,0.099009901,0.073170732,0.049180328,0.024390244,0.016393443,0.048780488,0.032786885,112.8852459,118.425,1,0,2,0,1,0
102,2,1,1.081523257,0.996250566,0.096774194,0.12195122,0.12745098,0.166666667,0,0.024390244,0.098039216,0.117647059,0.078431373,0.166666667,0.058823529,0.098039216,0.073170732,0.048387097,0.024390244,0.016129032,0.048780488,0.032258065,112.6290323,118.425,5,0,2,0,1,0
103,1,1,1.065049521,0.990764744,0.095238095,0.12195122,0.13592233,0.165048544,0,0.024390244,0.097087379,0.116504854,0.087378641,0.165048544,0.067961165,0.097087379,0.073170732,0.047619048,0.024390244,0.015873016,0.048780488,0.031746032,112.8571429,118.425,4,0,2,0,0,0
104,1,1,1.073760368,0.990515381,0.09375,0.12195122,0.144230769,0.163461538,0,0.024390244,0.096153846,0.115384615,0.086538462,0.163461538,0.067307692,0.096153846,0.073170732,0.046875,0.024390244,0.015625,0.048780488,0.03125,112.984375,118.425,4,0,2,0,0,0
105,1,2,1.095921678,0.99314073,0.09375,0.119047619,0.142857143,0.161904762,0,0.023809524,0.095238095,0.123809524,0.085714286,0.161904762,0.066666667,0.095238095,0.071428571,0.046875,0.023809524,0.015625,0.047619048,0.03125,112.984375,118.4146341,0,2,0,2,0,1
106,2,2,1.089994118,0.995292131,0.09375,0.11627907,0.141509434,0.160377358,0,0.023255814,0.103773585,0.122641509,0.08490566,0.160377358,0.066037736,0.094339623,0.069767442,0.046875,0.023255814,0.015625,0.046511628,0.03125,112.984375,118.6428571,0,5,0,2,0,1
107,2,2,1.033349784,0.993412199,0.09375,0.113636364,0.140186916,0.158878505,0,0.022727273,0.112149533,0.121495327,0.08411215,0.158878505,0.065420561,0.093457944,0.068181818,0.046875,0.022727273,0.015625,0.045454545,0.03125,112.984375,118.9534884,0,4,0,2,0,1
108,2,2,1.02864075,0.994870816,0.09375,0.111111111,0.138888889,0.166666667,0,0.022222222,0.111111111,0.12037037,0.083333333,0.166666667,0.064814815,0.101851852,0.066666667,0.046875,0.022222222,0.015625,0.044444444,0.03125,112.984375,119.0909091,0,5,0,1,0,0
109,1,2,1.084523727,1.010299691,0.09375,0.108695652,0.137614679,0.165137615,0,0.02173913,0.110091743,0.119266055,0.082568807,0.165137615,0.064220183,0.100917431,0.065217391,0.046875,0.02173913,0.015625,0.043478261,0.03125,112.984375,118.8444444,0,5,0,2,0,2
